,This is public NIH award data requested using the NIH RePORTER API on 3/13/25. ,,
,appl_id,project_serial_num,fiscal_year
418,11076112,CA274959,2023
419,10871954,CA281976,2024
420,11074816,CA134675,2024
421,10904290,CA290792,2024
422,10880853,CA284604,2024
423,10880959,CA262874,2024
424,10872783,CA290402,2024
425,10853744,CA288617,2024
426,10801508,CA279145,2024
427,10778882,CA286864,2024
428,10890983,CA283049,2024
429,10802740,CA279316,2024
430,10800092,CA280115,2024
431,10878107,CA284386,2024
432,10793132,CA287076,2024
433,10852272,CA288884,2024
434,10779126,CA286527,2024
435,10855130,CA289552,2024
436,10869504,CA290045,2024
437,10903145,CA290780,2024
438,10899047,CA290724,2024
439,10889529,CA283501,2024
440,10878416,CA282254,2024
441,10883148,CA282901,2024
442,10881578,CA279293,2024
443,10883247,CA280069,2024
444,10880067,CA282699,2024
445,10882365,CA283604,2024
446,10856030,CA289295,2024
447,10905347,CA287672,2024
448,10992811,CA251110,2024
449,11047290,CA276207,2024
450,11052058,CA272763,2024
451,10881236,CA283313,2024
452,10883464,CA283330,2024
453,10882392,CA283826,2024
454,10881004,CA282701,2024
455,10878175,CA282005,2024
456,10876755,CA290541,2024
457,10881037,CA282225,2024
458,10883284,CA281932,2024
459,10878155,CA282074,2024
460,10882030,CA282775,2024
461,10882813,CA281901,2024
462,10860754,CA289874,2024
463,10771736,CA285345,2024
464,10777970,CA285681,2024
465,10781736,CA287326,2024
466,10776616,CA286090,2024
467,10775866,CA285772,2024
468,10796124,CA279221,2024
469,10802889,CA278956,2024
470,10904106,CA276690,2024
471,10974673,CA281320,2024
472,10992308,CA276224,2023
473,11064653,CA283313,2024
474,10904317,CA262134,2024
475,10858050,CA289390,2024
476,10860104,CA290297,2024
477,10856553,CA290129,2024
478,10894536,CA284732,2024
479,10877369,CA283214,2024
480,10872851,CA290400,2024
481,10855850,CA288696,2024
482,10856132,CA289435,2024
483,10853553,CA288625,2024
484,10891001,CA282408,2024
485,10882723,CA283323,2024
486,10891078,CA279269,2024
487,10905541,CA284748,2024
488,10905326,CA284689,2024
489,10882100,CA279566,2024
490,10879349,CA276115,2024
491,10881467,CA283332,2024
492,10851391,CA288444,2024
493,10856158,CA288692,2024
494,10864582,CA290435,2024
495,10860588,CA289884,2024
496,10993370,CA266617,2024
497,10905819,CA290859,2024
498,10881472,CA282733,2024
499,10804251,CA276461,2024
500,11055674,CA228308,2024
501,10878324,CA282810,2024
502,10801811,CA279021,2024
503,10844703,CA288321,2024
504,10872897,CA290597,2024
