"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
1880221,ur.010567302263.74; ur.01133225665.23; ur.01007114400.76,184,67,3,project_pi,10434299,R21CA270585,n,n,,,9,23.2,47.4,,Multiple,66,1,174,170,7,,,,37,36,1,,,,,
6564950,ur.01064420556.52,152,74,4,project_pi,10147674; 10442947; 10456705; 9257364; 9706774; 9923040,P30CA014520; R01CA176748; R01CA261937,n,n,,,5,5.3,5.7,,Multiple,40,1,42,20,24,,,,37,36,1,,,,,
7149811,ur.01134555115.31,101,46,3,project_pi,10076805; 10247103; 10323016; 10517298; 9355124; 9544907; 9672823; 9767738; 9830115; 9883200; 9994841,R01CA201179; R01CA229425,n,n,,,8,8,8.5,,Multiple,54,1,30,30,1,,,,37,36,1,,,,,
6356627,ur.01127572407.75,110,51,4,project_pi,10182958; 10405632; 9319227; 9550933; 9741065,R01CA189299; R01CA258720,n,n,,,11,12.4,14.6,,Multiple,51,1,55,55,1,,,,37,36,1,,,,,
7541625,ur.01301200226.70,47,39,3,project_pi,10119712; 10347363; 9214320,R01CA231509; R21CA181994,n,n,,,12,73.8,86.9,,Multiple,44,1,105,105,1,,,,37,36,1,,,,,
11386533,ur.01341571432.37,122,37,1,project_pi,9372530,R01CA218547,n,n,,,10,10.9,12.1,,Multiple,99,1,48,48,3,,,,37,36,1,,,,,
8149883,ur.0635075426.08,110,78,4,project_pi,9302701; 9392658; 9430743; 9527764; 9598135; 9730389; 9830163,R03CA222155; U01CA185188,n,n,,,6,7.7,7.5,,Multiple,45,1,32,24,12,,,,37,36,1,,,,,
2257319,ur.0734556550.52,86,51,2,project_pi,10049627; 10166806; 10412967; 9306779,R01CA091901; R01CA243529,n,n,,,7,7.5,7.9,,Multiple,56,1,9,9,2,,,,37,36,1,,,,,
15035804,ur.01056347706.15,102,38,1,project_pi,10424637,R21CA258493,n,n,,,8,11.5,18.4,,Multiple,75,1,39,39,1,,,,37,36,1,,,,,
8543728,ur.01051322253.30,131,41,1,project_pi,10194409; 10433852; 9528762; 9723052; 9959378,U01CA220714,n,n,,,10,10.8,12.7,,Multiple,97,1,83,83,2,,,,37,36,1,,,,,
10298815,ur.01234454000.31,109,51,3,project_pi,10294863,R01CA255341,n,n,,,12,12.8,13.8,,Multiple,74,1,71,69,3,,,,37,36,1,,,,,
10941662,ur.010303461367.04; ur.0744365072.95,52,36,5,project_pi,10015209; 10229578; 10247729; 9362260; 9545735; 9567124; 9751236; 9764288; 9999478,R01CA211615; R01CA218036,n,n,,,15,15.9,17.6,,Multiple,48,1,47,47,1,,,,37,36,1,,,,,
12548060,ur.01347122425.52,283,44,1,project_pi,10013163; 10013188; 10237155; 10237156; 10477209; 10477211; 9569903; 9788309,P01CA229100,n,n,,,15,15.5,18.6,,Multiple,106,1,73,72,4,,,,37,36,1,,,,,
6877992,ur.0755076710.63,87,48,5,project_pi,10061562; 10210202; 10297988; 10415217; 10459442; 9190363; 9239818; 9335318; 9387379; 9399637; 9531281; 9601659; 9603703; 9633851; 9756145; 9828071; 9830593; 9975798,P50CA217691; R01CA136534; R01CA193828; R01CA200905; R01CA255257,n,n,,,10,10.8,11.2,,Multiple,55,1,34,32,5,,,,37,36,1,,,,,
1895935,ur.0662416321.94,74,40,1,research_subproject_pi,10025095; 10237962; 10460441,P30CA054174,n,n,,,10,13.3,12.5,,Multiple,53,1,73,69,8,,,,37,36,1,,,,,
10992109,ur.01162451244.19; ur.014466477452.23; ur.067432052.07; ur.0613001742.30; ur.0600357476.32; ur.01270331674.37; ur.0641673434.22; ur.014556535163.42; ur.0665774375.09; ur.0714305435.08; ur.010614552063.20,62,37,3,project_pi,10244839; 10533682; 10603041,DP2CA271301,n,n,,,15.5,14.3,17.1,,Multiple,46,1,55,54,5,,,,37,36,1,,,,,
11324178,ur.01171450763.32,88,39,2,project_pi,10009288; 10236381; 10475022; 9310914; 9547338; 9765190,U01CA207091,n,n,,,9,11.5,15.5,,Multiple,62,1,40,40,2,,,,37,36,1,,,,,
3123599,ur.01007322455.49,106,58,10,project_pi,10006728; 10078263; 10091406; 10251255; 10456222; 9211149; 9283894; 9291443; 9406474; 9450493; 9512785; 9634041; 9719406; 9785929; 9820548; 9820561; 9829988; 9843128; 9983645,R01CA200539; R01CA211073; R01CA214811; R01CA239255,n,n,,,12,12.6,13,,Multiple,54,1,33,32,3,,,,37,36,1,,,,,
10675721,ur.01117516671.41,156,43,2,project_pi,10055834; 10271266; 10331128; 10442544; 10491296,R01CA253475; U01CA265735,n,n,,,8,8.5,7.7,,Multiple,105,1,32,32,2,,,,37,36,1,,,,,
11255052,ur.0777200706.40,150,38,1,research_subproject_pi,10415939,P50CA221703,n,n,,,18,19.1,29.1,,Multiple,133,1,90,90,5,,,,37,36,1,,,,,
8586942,ur.01243770221.48,63,39,1,project_pi,10226947; 9366869; 9528537; 9742439; 9989588,R01CA218204,n,n,,,7,8.8,9.7,,Multiple,53,1,34,33,2,,,,37,36,1,,,,,
1857482,ur.01325520361.26,213,50,2,project_pi,10109999; 9876809,R21CA245432,n,n,,,10,11.5,13.2,,Multiple,122,1,58,58,3,,,,37,36,1,,,,,
10248518,ur.01327143665.45,115,36,3,project_pi,10000071; 9344558; 9552743; 9766083,R01CA208644,n,n,,,9,12.2,9.9,,Multiple,108,1,39,39,1,,,,37,36,1,,,,,
10302292,ur.01322375346.84,142,56,1,project_pi,10407165; 10438939; 9713660; 9883762,R01CA237170,n,n,,,7,31.8,64.7,,Multiple,63,2,163,163,2,,,,37,36,1,,,,,
10937979,ur.01037746434.44,120,40,1,project_pi,10226013; 10376883; 9539327; 9684571; 9898342,R01CA225002,n,n,,,7.5,12.2,9.4,,Multiple,68,2,16,16,2,,,,37,36,1,,,,,
11312718,ur.01126652037.78,99,44,1,project_pi,9258402; 9479678; 9705858,U24CA194362,n,n,,,9,13.3,18.4,,Multiple,60,2,74,74,1,,,,37,36,1,,,,,
9830732,ur.0654315362.24,117,41,1,project_pi,10077836; 10320746; 9888179,R01CA237535,n,n,,,7,8.7,12.5,,Multiple,59,4,24,22,5,,,,37,36,1,,,,,
1865347,ur.010434133617.26,71,40,2,project_pi,10223197; 9302691; 9378888; 9516897; 9616931; 9736234; 9906325,P30CA023168,n,n,,,9,9.7,10.7,,Multiple,56,1,68,60,13,,,,38,37,1,,,,,
1858439,ur.0663422020.85,101,49,3,project_pi,10005894; 10005900; 10240529; 10240530; 10479126; 10479128; 9241357; 9447130; 9491536; 9491537; 9788297; 9788298,P01CA217797; R01CA184051,n,n,,,8,30.8,35.7,,Multiple,70,1,78,78,4,,,,38,37,1,,,,,
14090010,ur.015471121720.96,189,40,1,research_subproject_pi,10208777,P50CA097274,n,n,,,15,16.9,22,,Multiple,137,1,43,42,4,,,,38,37,1,,,,,
2199671,ur.012361217777.38; ur.016215205574.34,51,39,1,project_pi,9184544,R21CA191913,n,n,,,10,11.7,12.5,,Multiple,48,1,43,43,1,,,,38,37,1,,,,,
10227454,ur.013033174507.33,86,51,2,project_pi,10062440; 10304890; 9447707; 9608723; 9825388,R01CA215185,n,n,,,11,12.5,15.4,,Multiple,57,1,81,80,5,,,,38,37,1,,,,,
8662503,ur.0743017550.70,82,37,3,project_pi,9247142; 9265419; 9458705; 9662787,R01CA169117; R01CA184090,n,n,,,11,12.7,17.1,,Multiple,73,1,46,45,1,,,,38,37,1,,,,,
9729293,ur.01065653357.72,73,37,2,project_pi,10066329; 10304168; 9911231,R01CA240341,n,n,,,6,7.2,7.5,,Multiple,64,1,35,35,1,,,,38,37,1,,,,,
9313443,ur.01216263236.29,78,46,3,project_pi,10198854; 10367483; 10432012; 9197966; 9596834; 9737874; 9966898,R01CA172492; R01CA260176,n,n,,,12,14.2,15.5,,Multiple,62,1,42,42,1,,,,38,37,1,,,,,
9225997,ur.01142321463.18,63,48,5,project_pi,10063785; 10175336; 10211559; 10368111; 10394384; 9272849; 9325481; 9478136; 9689946; 9926813,R01CA197796; R01CA246807; R01CA258381; R21CA202403,n,n,,,11,12.6,14.3,,Multiple,42,1,65,65,1,,,,38,37,1,,,,,
7052083,ur.01014456507.79,112,62,5,project_pi,10063815; 10219982; 10226852; 9260276; 9266377; 9383379; 9444506; 9447504; 9520008; 9607069; 9747814; 9749894; 9825530; 9968188; 9973087,R01CA166582; R01CA211223; R01CA214744; U01CA202934,n,n,,,8,10.5,9.8,,Multiple,68,1,71,71,2,,,,38,37,1,,,,,
10152988,ur.01175552711.17,99,37,1,project_pi,9951006,R01CA202752,n,n,,,8,8.6,9.6,,Multiple,76,1,41,41,3,,,,38,37,1,,,,,
10499545,ur.01311621713.63,96,72,5,project_pi,10004577; 10198532; 10390383; 9190368; 9241393; 9384985; 9513476; 9700066; 9838423; 9838489; 9879717,R01CA200673; R01CA203834; R01CA260239,n,n,,,9,10.6,11.5,,Multiple,52,1,53,53,2,,,,38,37,1,,,,,
10184473,ur.01303244152.14,92,39,2,project_pi,10298217; 10458721,R01CA257333,n,n,,,7.5,15.2,16.9,,Multiple,77,1,66,66,1,,,,38,37,1,,,,,
9233539,ur.014363766145.55,125,41,1,project_pi,9194401,R21CA202529,n,n,,,12,29.1,56.2,,Multiple,84,1,61,61,1,,,,38,37,1,,,,,
1858941,ur.014502017452.18,217,46,2,project_pi,9341114; 9341134; 9341135; 9341136,P50CA180905,n,n,,,6,7.9,12,,Multiple,82,1,63,63,1,,,,38,37,1,,,,,
9542536,ur.0733777727.54,136,60,1,project_pi,10062906; 10305657; 9642130; 9833504,R01CA234904,n,n,,,9,11.5,10.2,,Multiple,94,1,83,83,1,,,,38,37,1,,,,,
8667956,ur.01032120140.34; ur.014670270344.12; ur.07401454105.49,199,43,2,project_pi,10287498; 10452641; 9511951; 9728898,R03CA251976; R21CA226959,n,n,,,11,12.7,19.4,,Multiple,73,1,73,73,1,,,,38,37,1,,,,,
7753298,ur.01230603732.44,109,60,4,project_pi,10196959; 10447058; 9180052; 9358695; 9388323; 9548980; 9751784; 9837948; 9965753; 9986668,R01CA107469; R01CA125577,n,n,,,6,9.1,11.5,,Multiple,53,1,52,52,1,,,,38,37,1,,,,,
10225849,ur.01206470707.19,258,57,3,project_pi,9249511; 9445398,U10CA180818,n,n,,,9,10.6,13.7,,Multiple,97,1,62,53,13,,,,38,37,1,,,,,
6801014,ur.01166513205.45,90,42,1,project_pi,9291432; 9477470,R01CA174951,n,n,,,17,18.5,19.5,,Multiple,70,1,48,48,1,,,,38,37,1,,,,,
9401090,ur.013422317407.13,93,51,2,project_pi,10053336; 10302310; 9661938; 9816619,R01CA227838,n,n,,,9,41.8,68,,Multiple,58,1,96,96,1,,,,38,37,1,,,,,
9985077,ur.014276355503.07; ur.01212463047.26,261,74,1,project_pi,10199969; 10410521; 9885882,R01CA246368,n,n,,,9,10.4,12.3,,Multiple,105,1,40,39,2,,,,38,37,1,,,,,
10737979,ur.0677421357.21,76,57,3,project_pi,10269644; 10470366; 9228339,P50CA254897; R00CA181343,n,n,,,11,10.7,11,,Multiple,47,1,53,51,4,,,,38,37,1,,,,,
6871558,ur.0750137622.01,96,76,3,project_pi,10064607; 10222581; 10307552; 10411515; 9355613; 9381708; 9445142; 9523376; 9538595; 9613225; 9744582; 9769642; 9831133; 9961499; 9994213,P01CA138338; R01CA095039; R01CA100670,n,n,,,6.5,7,7.3,,Multiple,42,2,35,35,8,,,,38,37,1,,,,,
10540180,ur.0750523305.07,215,51,1,research_subproject_pi,10248317; 10479906; 9632612; 9996538,P50CA190991,n,n,,,9,10.5,12.5,,Multiple,134,2,90,89,5,,,,38,37,1,,,,,
1960674,ur.01354532073.80,80,54,2,project_pi,10149159; 10381515; 10535248; 9524372; 9686673; 9902341,R01CA092160; R01CA266207,n,n,,,9,9.5,10.1,,Multiple,49,2,9,8,4,,,,38,37,1,,,,,
10165013,ur.0754244104.51,86,44,1,project_pi,10133542; 10286793; 9333684; 9447148; 9644524; 9678535; 9830143; 9858312,R01CA212376,n,n,,,9,13.9,14.6,,Multiple,58,6,53,52,2,,,,38,37,1,,,,,
7066003,ur.01174702157.48,186,59,1,project_pi,9344559; 9542273; 9772993,U01CA200147,n,n,,,14,20.4,27.8,,Multiple,85,6,107,104,7,,,,38,37,1,,,,,
7053397,ur.0615116064.13,78,52,3,project_pi,10024645; 10263985; 9241884,P30CA068485; R01CA174887,n,n,,,11,12.6,13.5,,Multiple,52,1,40,26,16,,,,39,38,1,,,,,
10574093,ur.01147023653.18,372,57,1,project_pi,10241994; 9643596; 9980318,R01CA233878,n,n,,,8,8.6,10.9,,Multiple,86,1,17,17,1,,,,39,38,1,,,,,
6069066,ur.014760316702.21,119,76,5,project_pi,10102220; 10371980; 9260871; 9487948; 9944373,R01CA191018; R01CA248323,n,n,,,8,10.8,11.4,,Multiple,54,1,79,79,1,,,,39,38,1,,,,,
7122841,ur.0602643230.95,130,56,3,project_pi,10075890; 10249080; 10322999; 10443876; 9865418; 9947378,R01CA245145; R01CA248742,n,n,,,7,6.9,7.8,,Multiple,60,1,33,33,1,,,,39,38,1,,,,,
6277680,ur.0604672361.50,138,47,1,project_pi,10062486; 10304896; 9895250,R01CA233978,n,n,,,7,8.9,10.2,,Multiple,66,1,38,38,1,,,,39,38,1,,,,,
1860024,ur.01235776334.76,83,48,6,project_pi,10013326; 10173650; 10397139; 9231093; 9264482; 9391018; 9740577; 9903235,R01CA046595; R03CA212562,n,n,,,8,10.6,12.3,,Multiple,56,1,58,57,1,,,,39,38,1,,,,,
1980646,ur.01306134155.52,565,41,1,project_pi,9259724; 9665690; 9762723; 9819515,UM1CA186644,n,n,,,16,15.9,21.4,,Multiple,272,1,88,87,3,,,,39,38,1,,,,,
14280074,ur.016055707117.31,104,53,1,project_pi,10133552; 10381553; 9684068; 9898350,U01CA236489,n,n,,,11,18.6,24.9,,Multiple,81,1,76,76,2,,,,39,38,1,,,,,
11565704,ur.01054606217.07,154,38,2,project_pi,10522409,R01CA256877,n,n,,,11,11.4,11.1,,Multiple,148,1,76,75,1,,,,39,38,1,,,,,
15227906,ur.01043702323.93,51,39,2,project_pi,10118591; 10319165,R37CA248077,n,n,,,9,9.8,10.3,,Multiple,48,1,16,16,1,,,,39,38,1,,,,,
10963785,ur.0603462173.35,176,65,2,project_pi,10199965; 10417211; 9203619; 9804802; 9959371,R01CA236034; R03CA201684,n,n,,,7,7.6,8.5,,Multiple,74,1,41,41,1,,,,39,38,1,,,,,
7619815,ur.01042656726.89,101,43,4,project_pi,9306037; 9512804; 9513231; 9688933; 9723059; 9964688,R01CA207130; R03CA219447,n,n,,,8,8.4,9.1,,Multiple,70,1,36,36,1,,,,39,38,1,,,,,
8602759,ur.0670373467.72,96,41,4,project_pi,9198212; 9262174; 9548182,R21CA191989; R21CA198237,n,n,,,7,8,9.1,,Multiple,79,1,46,46,1,,,,39,38,1,,,,,
3123605,ur.010120244513.60,102,63,6,project_pi,10212775; 10214562; 10448458; 9335289; 9423332; 9747233; 9983008,P01CA171983; R01CA222349; R21CA252748,n,n,,,9.5,46.2,69.3,,Multiple,59,1,162,162,4,,,,39,38,1,,,,,
8838213,ur.01065150556.86,94,42,1,project_pi,10253429; 9339320; 9551756; 9562028; 9786056,U01CA196408,n,n,,,9,10.7,11.6,,Multiple,80,1,60,60,4,,,,39,38,1,,,,,
12145003,ur.0657074221.01,53,38,1,project_pi,10170301; 10405573; 9513762; 9724405; 9930546,R01CA220234,n,n,,,11,16.2,19.1,,Multiple,50,1,15,15,4,,,,39,38,1,,,,,
9060230,ur.01063453162.98; ur.01034764221.03,66,38,2,project_pi,10299223; 10477431,R01CA255860,n,n,,,12,14.2,16.3,,Multiple,65,1,52,52,1,,,,39,38,1,,,,,
14803312,ur.011714050357.49,156,48,1,project_pi,10504585,R01CA273924,n,n,,,15.5,15.8,18.3,,Multiple,124,1,93,93,3,,,,39,38,1,,,,,
12277635,ur.016446210123.63; ur.01370407320.24,148,40,1,project_pi,10208799; 10462596; 9662269; 9986705,R01CA213214,n,n,,,11,12.3,14.1,,Multiple,128,1,79,77,2,,,,39,38,1,,,,,
1938988,ur.01075456557.33,59,38,1,project_pi,10010805; 10063276; 10212247; 10225123; 10230063; 10230165; 10244365; 10257211; 10293882; 10371706; 10437982; 10466977; 10467882; 10483311; 10514668; 10536435; 10622244; 9303888; 9726332; 9757183; 9794654; 9996045; 9997787,P30CA016672,n,n,,,12,12.2,13.1,,Multiple,56,1,83,47,38,,,,39,38,1,,,,,
7843946,ur.01277026073.72,95,42,3,project_pi,10015190; 10192671; 10407746; 9267459; 9326930; 9479453; 9479607; 9539591; 9678701; 9733962; 9762032,P01CA268991; R01CA138833; R01CA206564,n,n,,,8,8.3,9.2,,Multiple,89,1,17,16,4,,,,39,38,1,,,,,
12566832,ur.0611317335.93,121,57,1,project_pi,9233925; 9378848,P30CA014089,n,n,,,10,11.4,11.1,,Multiple,83,2,68,59,10,,,,39,38,1,,,,,
2101782,ur.0704762034.32,151,59,3,project_pi,10115644; 10116335; 10356846; 10380108; 9734540; 9916722; 9968915,R01CA231264; R01CA241623,n,n,,,6,7.6,8.4,,Multiple,75,2,43,43,1,,,,39,38,1,,,,,
11086716,ur.0753505123.14; ur.0707526555.52,57,39,2,project_pi,10118975; 10322177; 9254532,R01CA248543; R03CA191543,n,n,,,7,7.8,8,,Multiple,49,2,23,23,1,,,,39,38,1,,,,,
8649650,ur.01035174633.79,56,38,3,project_pi,9265308,R01CA172546,n,n,,,14,15,15.3,,Multiple,55,2,74,74,4,,,,39,38,1,,,,,
8646679,ur.01037232731.37,471,43,1,project_pi,10069919; 10322712,R01CA253923,n,n,,,9,11.7,19,,Multiple,128,2,53,53,2,,,,39,38,1,,,,,
10811142,ur.01135554272.06,69,41,1,research_subproject_pi,10411239; 9359370; 9517791; 9768384; 9991771,P01CA196569,n,n,,,9,18.1,22.2,,Multiple,54,3,74,73,6,,,,39,38,1,,,,,
2418842,ur.01034503403.19,80,44,4,project_pi,10005206; 10005254; 9630120; 9630125; 9788353; 9788361; 9894562,P20CA233374,n,n,,,10,10.7,11.7,,Multiple,61,4,42,40,8,,,,39,38,1,,,,,
14384795,ur.011774026205.44,95,40,1,project_pi,10366397,R01CA259058,n,n,,,13,61.8,131.2,,Multiple,59,1,149,149,2,,,,40,39,1,,,,,
7038439,ur.01144375337.29; ur.01055126244.13,170,44,1,project_pi,9254521; 9461494; 9700435,R01CA190347,n,n,,,6,7.7,9.2,,Multiple,89,1,40,40,1,,,,40,39,1,,,,,
6410805,ur.01240721746.29,102,41,6,project_pi,10206506; 10348217; 10501718; 9298395; 9414204; 9512894; 9618619; 9733978,R01CA196783; R01CA248393; R01CA273123; R21CA221683,n,n,,,15,16.4,18.9,,Multiple,96,1,67,66,5,,,,40,39,1,,,,,
7874967,ur.0730576526.70,130,40,1,project_pi,9314558; 9518657; 9719778; 9969570,R01CA207237,n,n,,,9,10.9,12.9,,Multiple,127,1,30,30,1,,,,40,39,1,,,,,
9633418,ur.0723732127.79,60,41,2,project_pi,10080716; 9239168; 9429074; 9619066; 9850209,R01CA204002,n,n,,,11,11.7,12.2,,Multiple,57,1,46,46,1,,,,40,39,1,,,,,
11004891,ur.01150335135.21,91,47,3,project_pi,10016224; 10239032; 10474611; 9732989,R01CA238562,n,n,,,11,14,17.1,,Multiple,76,1,61,61,1,,,,40,39,1,,,,,
8199960,ur.01060022235.63,97,42,1,project_pi,10058250; 10304847; 9643140; 9833516,R01CA233904,n,n,,,15,18.4,25.6,,Multiple,76,1,118,118,1,,,,40,39,1,,,,,
1902110,ur.014036257067.69,119,46,3,project_pi,10083520; 10197839; 10228207; 10439192; 10460211; WITHHELDAPPL126; 9614399; 9750307; 9762046; 9982880; 9984307,P30CA060553; R01CA223963; R01CA271220,n,n,,,9,12.8,16.7,,Multiple,68,1,86,68,18,,,,40,39,1,,,,,
10671184,ur.01101530653.11; ur.0623113372.76,190,61,4,project_pi,10064023; 10154188; 10154406; 10312107; 10381296; 10524202; 10526304; 10528617; 9862732,R37CA244613; U54CA274513,n,n,,,8,9.1,9.1,,Multiple,85,1,57,56,2,,,,40,39,1,,,,,
1938880,ur.0600617167.48,91,57,5,project_pi,10177961; 10216189; 10248324; 10441227; 10478101; 10601311; 10601325; 10602899; 9274931; 9361832; 9518795; 9519457; 9602300; 9735189; 9747822; 9787314; 9966929; 9980803; 9994226,R01CA100019; R01CA218285; R01CA231838,n,n,,,10,12.1,12.8,,Multiple,60,1,54,53,3,,,,40,39,1,,,,,
10865150,ur.01360776536.54,91,43,3,project_pi,10288334; 10355322,R21CA256154; R21CA259422,n,n,,,11,10.8,11,,Multiple,80,1,35,35,1,,,,40,39,1,,,,,
8482021,ur.01164236544.55,160,43,1,project_pi,9586737; 9718228,R21CA223366,n,n,,,10,10.5,11.9,,Multiple,98,1,67,67,1,,,,40,39,1,,,,,
9189079,ur.01207127727.38,69,45,3,project_pi,10197853; 10418064; 10447016; 9604512; 9747841; 9977986,R01CA236616; R01CA269235,n,n,,,10,9.7,10.7,,Multiple,54,1,49,49,1,,,,40,39,1,,,,,
6827239,ur.01365546345.97,233,46,1,project_pi,10176430; 10393330; 9960852,R01CA249506,n,n,,,6,9.5,10.1,,Multiple,100,1,47,47,2,,,,40,39,1,,,,,
10322312,ur.016174066602.93,151,45,2,project_pi,9320970; 9764919,R01CA207645,n,n,,,11,11.4,10.1,,Multiple,103,1,68,67,2,,,,40,39,1,,,,,
15395861,ur.01303526064.50; ur.016137156014.60,148,49,2,project_pi,10051274; 10248560; 10364443; 10413251,R01CA245318; R01CA258524,n,n,,,10,12.9,16,,Multiple,53,1,80,79,2,,,,40,39,1,,,,,
12240811,ur.01370750223.24,226,56,2,project_pi,10112835; 10204972; 10372020; 10439776; 9520603; 9635753; 9799990; 9904132; 9970450,R01CA241164; R37CA214679,n,n,,,12,12.3,13.6,,Multiple,108,1,58,58,1,,,,40,39,1,,,,,
10369917,ur.01367750066.44,371,76,2,project_pi,10073479; 10333299; 10355869; 10645899; 9448294; 9618155; 9980181,R01CA214865; R21CA259766,n,n,,,8,18.6,59,,Multiple,104,1,167,166,1,,,,40,39,1,,,,,
14939462,ur.01007770561.23,82,53,3,project_pi,10146312; 10377998; 10451201; 10502148; 9943262,R01CA272733; R37CA248665; U01CA271287,n,n,,,8,9.1,10.1,,Multiple,47,1,41,40,1,,,,40,39,1,,,,,
8498319,ur.013217734617.75,166,48,4,project_pi,10145206; 10333417; 10400349; 9652983; 9832674,R01CA257370; R21CA234681,n,n,,,7,7.3,8.7,,Multiple,85,1,20,20,1,,,,40,39,1,,,,,
10415084,ur.01146671556.05,86,41,1,project_pi,9269991; 9487172,R01CA178397,n,n,,,13,13.2,14.4,,Multiple,82,1,31,31,1,,,,40,39,1,,,,,
8230129,ur.014077257457.15,107,54,6,project_pi,10008091; 10113705; 10115900; 10251935; 9218541; 9275936; 9494558; 9653972; 9698308,R01CA205941; R01CA212350,n,n,,,7,7.9,10.2,,Multiple,66,1,41,36,7,,,,40,39,1,,,,,
6505113,ur.0724200043.52,107,41,1,project_pi,10030361; 10210249; 10434819,R01CA251686,n,n,,,7,8.3,8.7,,Multiple,72,1,36,36,1,,,,40,39,1,,,,,
2105338,ur.01333255235.11,123,53,4,project_pi,9247934; 9565504; 9700614; 9938442,R01CA204013,n,n,,,10,10.7,11.6,,Multiple,77,2,50,45,5,,,,40,39,1,,,,,
11685486,ur.01233530242.11,84,49,1,project_pi,9600399; 9723067,R21CA223686,n,n,,,9,10.5,11.1,,Multiple,60,2,34,33,2,,,,40,39,1,,,,,
1879023,ur.01154332450.85,93,45,1,project_pi,10505307,U01CA272612,n,n,,,20,23.7,25.6,,Multiple,76,2,130,130,1,,,,40,39,1,,,,,
8336188,ur.0717651502.05,72,40,4,project_pi,10218101; 10255082; 10374966; 10403887; 10442424; 9817234; 9982241,R01CA235773,n,n,,,6,6.5,6.8,,Multiple,59,2,22,22,1,,,,40,39,1,,,,,
1860325,ur.010214460117.81; ur.01261154470.66,101,53,3,project_pi,10216200; 10452522; 9277411; 9307794; 9518574; 9530548; 9605681; 9729546; 9753195; 9935000; 9977996,R01CA143811; R01CA203012; R35CA231993,n,n,,,12,49.5,84.5,,Multiple,69,4,183,181,4,,,,40,39,1,,,,,
12436574,ur.01162571323.12,116,47,1,project_pi,10394396,R01CA187427,n,n,,,9,9.2,11,,Multiple,74,1,18,17,2,,,,41,40,1,,,,,
1859727,ur.01171732540.41,105,45,6,project_pi,10097489; 10113558; 10337331; 9436336; 9632785; 9743026; 9859207,R01CA223772; R01CA255960,n,n,,,9,9.6,11.7,,Multiple,86,1,58,58,1,,,,41,40,1,,,,,
8544737,ur.01126376743.46; ur.011505545745.29; ur.01273256016.33,47,40,3,project_pi,10356588; 9279084; 9514332; 9783058,R21CA202199; R21CA267374,n,n,,,9,9.4,9.4,,Multiple,47,1,27,26,1,,,,41,40,1,,,,,
3151835,ur.01301126174.99,89,43,2,project_pi,10247611; 10477075; 9302070; 9793161; 9987554,P30CA082709; R15CA208543,n,n,,,7,7.1,8.2,,Multiple,65,1,30,22,10,,,,41,40,1,,,,,
6648742,ur.01110772126.68,114,41,1,project_pi,9415489,U54CA163262,n,n,,,11,11.2,12.5,,Multiple,96,1,59,59,6,,,,41,40,1,,,,,
11113699,ur.0661543621.65,172,50,1,project_pi,10199321; 10459402,R21CA252535,n,n,,,11,12.1,12.7,,Multiple,129,1,89,89,1,,,,41,40,1,,,,,
8867039,ur.0660433443.40,571,49,2,project_pi,10301455; 10632254; 9259724; 9665690; 9762723; 9819515; 9932727,UM1CA186644,n,n,,,14,14.4,18.6,,Multiple,309,1,155,150,8,,,,41,40,1,,,,,
2449527,ur.0756555441.09,187,52,4,project_pi,10522060; 9268404; 9294967; 9316557; 9489063; 9512822; 9717225; 9952324,R01CA128799; R01CA171558; R01CA200553; R56CA128799,n,n,,,7,12.6,8.2,,Multiple,71,1,32,32,1,,,,41,40,1,,,,,
1885359,ur.012662413002.13; ur.011643500542.09,234,42,2,project_pi,9334737; 9564836,U24CA180927,n,n,,,10,11.7,12.9,,Multiple,116,1,41,41,1,,,,41,40,1,,,,,
8731990,ur.0650465661.14,50,40,2,project_pi,10323146; 10493411; 9353742; 9548635; 9757723; 9994249,R50CA211462,n,n,,,14,19.2,22.5,,Multiple,48,1,88,87,3,,,,41,40,1,,,,,
9856151,ur.0642162172.05,338,57,1,project_pi,9600210; 9695189,R21CA224267,n,n,,,8,9.8,13.1,,Multiple,167,1,119,119,1,,,,41,40,1,,,,,
7705680,ur.01052402377.11,79,47,3,project_pi,10131146; 10374802; 9739858; 9902376,R01CA222817,n,n,,,10,11,12.9,,Multiple,63,1,51,51,1,,,,41,40,1,,,,,
