"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
8696616,ur.01160256751.85,125,86,10,project_pi,10067695; 10219977; 10256749; 10317359; 10317717; 10331235; 10440142; 10450181; 10451668; 10469432; 10489814; 10687334; 10747635; 9333281; 9335322; 9383632; 9542269; 9564851; 9722610; 9736671; 9766202; 9776470; 9851969; 9987295,R01CA202956; R01CA212086; R01CA260889; R01CA264995; U01CA199284; U01CA253858; U01CA265739,n,n,,,8,8.6,9.5,,Multiple,101,9,68,64,15,,,,81,72,9,,,,,
1863884,ur.011705064457.05; ur.012137346374.39; ur.015422233657.85,150,92,9,project_pi,10004862; 10062919; 10063137; 10112185; 10112188; 10279279; 10332548; 10363638; 10363640; 10407648; 10520192; 9208416; 9269164; 9280881; 9313619; 9405391; 9477598; 9614957; 9631868; 9631870; 9650724; 9758884; 9766570; 9777017; 9784220; 9842693; 9870878; 9870889,P01CA163227; P30CA006516; P50CA090381; R01CA168393; R01CA262536; R01CA266704,n,n,,,12,12.9,14.3,,Multiple,118,8,149,110,60,,,,85,77,8,,,,,
1881790,ur.013765676317.14; ur.013750206302.45,562,397,13,project_pi,10020352; 10087501; 10113787; 10135848; 10135967; 10207552; 10248481; 10253251; 10260017; 10318921; 10322757; 10374812; 10374813; 10436886; 10486008; 9187870; 9248998; 9280594; 9280596; 9334552; 9456680; 9462531; 9518575; 9518756; 9550937; 9558795; 9598092; 9630279; 9657402; 9657408; 9673674; 9735886; 9773633; 9815261; 9916400; 9916850; 9931144; 9931147,R01CA186566; R01CA242218; R01CA243449; R03CA256222; R21CA191651; U01CA196386; U01CA243483; U19CA203654,n,n,,,13,27.7,33,,Multiple,447,12,516,506,27,,,,341,330,11,,,,,
9743829,ur.01350734042.58; ur.01067550107.68,254,80,8,project_pi,10071105; 10072505; 10137083; 10157567; 10176428; 10224926; 10226106; 10362577; 10364663; 10397617; 10425326; 10454960; 9275931; 9284280; 9488418; 9488424; 9693685; 9696671; 9739036; 9818324; 9882972; 9975772,R01CA188298; R01CA229766; R01CA233975; R01CA244526; R01CA254179; R01CA257655; U01CA194389,n,n,,,15,16.9,19.2,,Multiple,230,8,122,121,7,,,,86,78,8,,,,,
1967986,ur.011627734643.30; ur.0770073656.26,180,86,11,project_pi,10199473; 10249736; 10330484; 10437015; 9189695; 9247144; 9313842; 9332975; 9389482; 9455622; 9503847; 9518555; 9607038; 9676244; 9750645; 9828079; 9880533; 9912115,R01CA169937; R01CA202846; R01CA203388; R01CA261251; R21CA259935; U01CA198913,n,n,,,9,9.6,10.5,,Multiple,130,9,58,55,11,,,,86,78,8,,,,,
2423744,ur.012573556717.99; ur.012013275524.94,141,88,11,project_pi,10128412; 10162526; 10174859; 10178306; 10365985; 10379990; 9221953; 9273482; 9338035; 9370492; 9489803; 9507794; 9542729; 9607336; 9627677; 9700647; 9701151; 9741369; 9743955; 9756924; 9783763; 9830149; 9904517; 9906218; 9965648; 9988695; 9994744,P20CA233307; P30CA014599; R01CA167785; R01CA172801; R01CA218700; R01CA228036; U01CA142565,n,n,,,8,8.6,8.8,,Multiple,114,10,44,29,26,,,,86,76,10,,,,,
1961726,ur.010176340067.11,128,81,12,project_pi,10067695; 10069488; 10251326; 10256749; 10380482; 10401199; 10440142; 10456859; 10469140; 10469432; 10673273; 10687334; 10747635; 9329292; 9333281; 9337391; 9337399; 9459474; 9530591; 9530599; 9542269; 9552742; 9598145; 9744618; 9744627; 9772842; 9776470; 9982054; 9982083,U01CA199218; U01CA199284; U01CA253858; U01CA253911; U54CA209971,n,n,,,9.5,12.4,13.9,,Multiple,117,12,96,95,21,,,,86,76,10,,,,,
8354863,ur.01125252005.41,248,86,13,project_pi,10031954; 10119532; 10219206; 10295900; 10331882; 10406973; 10438892; 9236004; 9319642; 9324154; 9325455; 9354404; 9379085; 9548985; 9554829; 9554845; 9598152; 9784587,R01CA181275; R01CA185207; R01CA186132; R01CA251911; R01CA252245; R21CA249367; UH3CA189910,n,n,,,8,9.2,9.3,,Multiple,165,15,34,32,9,,,,87,77,10,,,,,
6362098,ur.0756242177.53,154,85,10,project_pi,10083194; 10209764; 10362714; 10366397; 10520937; 9216819; 9230359; 9262179; 9406196; 9438502; 9457393; 9616854; 9640427; 9674401; 9736519; 9841916; 9904556,R01CA193910; R01CA204954; R01CA211707; R01CA251555; R01CA259058; R01CA262577,n,n,,,16,29,40.6,,Multiple,146,9,257,255,23,,,,91,83,8,,,,,
6618381,ur.01261361112.98,254,132,13,project_pi,10054566; 10114056; 10290575; 10447683; 9443407; 9526787; 9598213; 9741130; 9744158; 9744638; 9745152; 9751815; 9878071,R03CA216114; R03CA219603; R03CA223886; R03CA231766; R03CA239193; R03CA249542; R03CA253319; R03CA256764,n,n,,,9,13.8,12.5,,Multiple,170,11,135,133,11,,,,94,83,11,,,,,
